specimen_collection_month,alpha,beta,gamma,delta,epsilon,zeta,eta,iota,kappa,​Mu,​Omicron,update_date
​21-Nov,​0.0%,​0.0%,​0.0%,​99.5%,​0.0%,​0.0%,​0.0%,​0.0%,0.0%​,​0.0%,​0.0%,2021-12-11
​21-Oct,​0.0%,​0.0%,​0.0%,​99.2%,​​0.0%,​​0.0%,​​0.0%,​​0.0%,​​0.0%,​​0.0%,​0.0%,2021-12-11
​21-Sept,​0.1%,​0.0%,​0.1%,​98.1%,​0.1%,​0.0%,​0.0%,​0.0%,​0.0%,​0.1%,​0.0%,2021-12-11
​21-Aug,​0.2%,​0.0%,​0.3%,​98.0%,​0.1%,​0.0%,​0.0%,​0.0%,​0.0%,​0.2%,​0.0%,2021-12-11
​21-Jul,​2.1%,​0.0%,​1.6%,​93.0%,​0.0%,​0.0%,​0.0%,​0.1%,​0.0%,​1.6%,​0.0%,2021-12-11
​21-Jun,27.0%,0.1%,10.7%,46.1%,0.9%,0.0%,0.0%,2.0%,0.0%,​1.9%,​0.0%,2021-12-11
​21-May,52.4%,0.5%,11.7%,6.0%,5.5%,0.0%,0.1%,5.0%,0.1%,​0.6%,​0.0%,2021-12-11
21-Apr,47.6%,0.7%,8.2%,1.9%,17.4%,0.0%,0.3%,4.6%,0.5%,​0.1%,​0.0%,2021-12-11
21-Mar,21.4%,0.5%,2.1%,0.0%,49.4%,0.3%,0.2%,1.8%,0.1%,​0.0%,​0.0%,2021-12-11
21-Feb,5.1%,0.0%,0.0%,0.0%,59.6%,0.2%,0.0%,0.3%,0.0%,​0.0%,​0.0%,2021-12-11
21-Jan,1.1%,0.0%,0.0%,0.0%,48.0%,0.1%,0.0%,0.0%,0.0%,​0.0%,0.0%​,2021-12-11
20-Dec,0.5%,0.0%,0.0%,0.0%,23.6%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Nov,0.0%,0.0%,0.0%,0.0%,11.0%,0.1%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Oct,0.0%,0.0%,0.0%,0.1%,3.3%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Sep,0.0%,0.0%,0.0%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Aug,0.0%,0.0%,0.0%,0.3%,0.2%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Jul,0.5%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Jun,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-May,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,​0.0%,​0.0%,2021-12-11
20-Apr,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.2%,0.0%,​0.0%,​0.0%,2021-12-11
20-Mar,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,​​0.0%,​0.0%,​0.0%,2021-12-11
